StartDate,StartTime,EndDate,EndTime,Status,Progress JAIVEER,Duration (in seconds) JAIVEER,Finished,RecordedDate,RecordedTime,ResponseId,DistributionChannel,DistributionChannel Capitalized,UserLanguage JAIVEER,Q_RecaptchaScore,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4 Jenessa,Q5 Jenessa,Q6_1 Jenessa,Q7_1 Jenessa,Q8_1 Jenessa,Q9_1 Jenessa,Q10_1 Jenessa,Q11_1 Jenessa
Start Date,Start Time,End Date,End Time,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recorded Time,Response ID,Distribution Channel,DistributionChannel Capitalized,User Language,Q_RecaptchaScore,"People often describe extroverts as recharged by social time, and introverts as recharged by alone time. I would consider myself:",To what extent do you agree with the following statements. - I feel energized when surrounded by people.,To what extent do you agree with the following statements. - I thrive in large teams and crowds.,To what extent do you agree with the following statements. - I prefer solitary activities over social ones.,To what extent do you agree with the following statements. - I am shy and reserved in social settings.,Rate how well each of the following personality traits describes you. - Introspective,Rate how well each of the following personality traits describes you. - Talkative,Rate how well each of the following personality traits describes you. - Carefree,Rate how well each of the following personality traits describes you. - Reserved,Rate how well each of the following personality traits describes you. - Sensitive,Rate how well each of the following personality traits describes you. - Impulsive,"How much do you agree with the following statement: ""I am a picky eater.""",Which food flavor do you tend to eat most often?,Rate the extent to which you like salty foods.,Rate the extent to which you like sweet foods.,Rate the extent to which you like sour foods.,Rate the extent to which you like spicy foods.,Rate the extent to which you like savoury (umami) foods.,Rate the extent to which you like bitter foods.
6/4/2025,17:40:13,6/4/2025,17:42:59,IP Address,100,166,True,6/4/2025,17:43:00,R_7S8HSkh96mNEZr3,anonymous,Anonymous,EN,0.8999999761581420,Mostly introverted,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Describes me moderately well,Describes me slightly well,Does not describe me,Describes me very well,Describes me very well,Describes me slightly well,Strongly disagree,Savoury (umami),7,7,7,9,10,5
6/4/2025,18:12:33,6/4/2025,18:14:26,IP Address,100,112,True,6/4/2025,18:14:26,R_6GjpokWtgGpjzPO,anonymous,Anonymous,EN,1,Mostly introverted,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Describes me very well,Describes me slightly well,Describes me slightly well,Describes me slightly well,Does not describe me,Describes me moderately well,Somewhat agree,Spicy,7,5,5,10,9,6
6/4/2025,18:31:07,6/4/2025,18:33:25,IP Address,100,137,True,6/4/2025,18:33:25,R_373upJMmFGwSDsw,anonymous,Anonymous,EN,0.800000011920929,An equal mixture of both,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Describes me slightly well,Describes me moderately well,Describes me moderately well,Describes me slightly well,Describes me moderately well,Describes me moderately well,Somewhat disagree,Spicy,8,5,3,10,4,1
6/4/2025,18:48:46,6/4/2025,18:49:59,IP Address,100,73,True,6/4/2025,18:50:00,R_5jiEaHVanYIr6uv,anonymous,Anonymous,EN,0.8999999761581420,An equal mixture of both,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Describes me moderately well,Describes me extremely well,Describes me slightly well,Describes me moderately well,Describes me extremely well,Describes me very well,Somewhat disagree,Savoury (umami),7,10,4,10,10,0
6/4/2025,18:44:03,6/4/2025,18:56:41,IP Address,100,758,True,6/4/2025,18:56:42,R_5czRxRtSYjvJs5v,anonymous,Anonymous,EN,1,I don't know,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Describes me slightly well,Describes me moderately well,Describes me very well,Describes me slightly well,Describes me moderately well,Describes me slightly well,Somewhat agree,Sweet,8,9,6,9,5,4
6/4/2025,19:08:04,6/4/2025,19:15:07,IP Address,100,423,True,6/4/2025,19:15:07,R_5dF0IicausQJdgG,anonymous,Anonymous,EN,0.8999999761581420,Mostly introverted,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Describes me extremely well,Describes me slightly well,Describes me moderately well,Describes me moderately well,Describes me moderately well,Describes me slightly well,Somewhat disagree,Savoury (umami),9,7,6,7,10,7
6/4/2025,19:48:03,6/4/2025,19:51:42,IP Address,100,218,True,6/4/2025,19:51:43,R_1G32DxGRGYtbMcj,anonymous,Anonymous,EN,0.8999999761581420,Mostly introverted,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Describes me very well,Describes me extremely well,Does not describe me,Describes me slightly well,Describes me extremely well,Describes me extremely well,Strongly disagree,Sweet,7,10,3,6,5,1
6/4/2025,21:01:12,6/4/2025,21:04:04,IP Address,100,171,True,6/4/2025,21:04:04,R_35yVRVpSCmQGGC6,anonymous,Anonymous,EN,1,Mostly introverted,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Describes me extremely well,Describes me moderately well,Describes me slightly well,Describes me moderately well,Describes me extremely well,Describes me slightly well,Strongly disagree,Sweet,8,10,4,8,6,
6/4/2025,21:06:40,6/4/2025,21:09:21,IP Address,100,161,True,6/4/2025,21:09:22,R_5OfwhlvPCvQxVPt,anonymous,Anonymous,EN,1,An equal mixture of both,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Describes me extremely well,Describes me moderately well,Describes me moderately well,Describes me slightly well,Describes me moderately well,Describes me slightly well,Somewhat disagree,Savoury (umami),10,7,6,6,10,2
6/4/2025,22:23:11,6/4/2025,22:25:19,IP Address,100,127,True,6/4/2025,22:25:20,R_1tb38leMEAnnQA4,anonymous,Anonymous,EN,1,Mostly introverted,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Describes me very well,Describes me moderately well,Describes me slightly well,Describes me moderately well,Describes me very well,Describes me slightly well,Strongly disagree,Salty,10,10,0,8,10,2
6/5/2025,16:23:02,6/5/2025,16:25:17,IP Address,100,134,True,6/5/2025,16:25:17,R_5xXJUH5DEYGcdxv,anonymous,Anonymous,EN,0.6000000238418580,An equal mixture of both,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Describes me very well,Describes me moderately well,Describes me slightly well,Describes me very well,Describes me moderately well,Describes me slightly well,Strongly disagree,Sweet,6,7,2,4,6,1
6/5/2025,22:14:02,6/5/2025,22:16:27,IP Address,100,144,True,6/5/2025,22:16:27,R_3v6C1at7dif4rSt,anonymous,Anonymous,EN,0.8999999761581420,An equal mixture of both,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Describes me extremely well,Describes me extremely well,Describes me moderately well,Describes me very well,Describes me very well,Describes me slightly well,Somewhat agree,Salty,10,8,7,6,8,2
6/8/2025,15:13:11,6/8/2025,15:24:47,IP Address,100,695,True,6/8/2025,15:24:47,R_1G1co2lYGIfXplO,anonymous,Anonymous,EN,0.8999999761581420,Mostly introverted,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Describes me very well,Does not describe me,Describes me slightly well,Describes me moderately well,Describes me very well,Describes me slightly well,Strongly disagree,Savoury (umami),8,6,9,8,10,3
6/8/2025,15:28:31,6/8/2025,15:30:48,IP Address,100,137,True,6/8/2025,15:30:48,R_1yf2yYNfxel97a1,anonymous,Anonymous,EN,1,Mostly introverted,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Describes me extremely well,Does not describe me,Describes me very well,Describes me very well,Describes me slightly well,Describes me moderately well,Neither agree nor disagree,Salty,10,10,4,5,5,2
6/9/2025,16:03:48,6/9/2025,16:05:34,IP Address,100,106,True,6/9/2025,16:05:34,R_1EGasH8b9MbGuii,anonymous,Anonymous,EN,1,Mostly introverted,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Describes me very well,Describes me very well,Does not describe me,Describes me slightly well,Describes me extremely well,Describes me moderately well,Somewhat agree,Savoury (umami),9,8,6,4,9,3
6/9/2025,16:03:50,6/9/2025,16:05:53,IP Address,100,122,True,6/9/2025,16:05:53,R_50jmSc2brtMlqDQ,anonymous,Anonymous,EN,0.8999999761581420,An equal mixture of both,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Describes me moderately well,Describes me slightly well,Describes me moderately well,Describes me very well,Describes me extremely well,Describes me slightly well,Strongly agree,Spicy,6,9,8,10,8,6
6/9/2025,16:07:26,6/9/2025,16:09:36,IP Address,100,129,True,6/9/2025,16:09:36,R_5OEaF11YZrtIIil,anonymous,Anonymous,EN,1,Mostly introverted,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Describes me extremely well,Describes me slightly well,Describes me moderately well,Describes me very well,Describes me extremely well,Describes me slightly well,Somewhat disagree,Savoury (umami),4,6,10,6,10,8
6/11/2025,16:40:00,6/11/2025,16:41:00,IP Address,100,92,True,6/11/2025,16:41:00,R_7ldx7vO26zWO7pT,anonymous,Anonymous,EN,0.9,Mostly extroverted,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Describes me moderately well,Describes me extremely well,Describes me moderately well,Describes me slightly well,Describes me very well,Describes me very well,Somewhat disagree,Spicy,8,9,5,9,8,3
6/11/2025,16:39:00,6/11/2025,16:42:00,IP Address,100,158,True,6/11/2025,16:42:00,R_35kydE8sn1KKvct,anonymous,Anonymous,EN,0.8,An equal mixture of both,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Describes me moderately well,Describes me slightly well,Does not describe me,Describes me moderately well,Describes me moderately well,Describes me slightly well,Somewhat disagree,Savoury (umami),7,8,6,8,8,3
6/11/2025,16:39:00,6/11/2025,16:42:00,IP Address,100,184,True,6/11/2025,16:42:00,R_34BwpufjuskV66d,anonymous,Anonymous,EN,0.9,Mostly introverted,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Describes me extremely well,Describes me slightly well,Describes me moderately well,Describes me extremely well,Describes me very well,Describes me slightly well,Somewhat agree,Sweet,4,10,5,2,5,0
6/11/2025,16:39:00,6/11/2025,16:42:00,IP Address,100,162,True,6/11/2025,16:42:00,R_3ZC7OOmvNe1rhJL,anonymous,Anonymous,EN,0.9,Mostly introverted,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Describes me very well,Describes me slightly well,Describes me moderately well,Describes me extremely well,Describes me very well,Describes me moderately well,Somewhat disagree,Savoury (umami),8,10,1,8,10,9
6/11/2025,16:39:00,6/11/2025,16:42:00,IP Address,100,160,True,6/11/2025,16:42:00,R_7Kd6vkWd6QqH650,anonymous,Anonymous,EN,0.9,Mostly introverted,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Describes me extremely well,Does not describe me,Describes me slightly well,Does not describe me,Does not describe me,Describes me extremely well,Neither agree nor disagree,Sweet,10,10,4,6,7,9
6/11/2025,16:38:00,6/11/2025,16:42:00,IP Address,100,214,True,6/11/2025,16:42:00,R_3K8DSZub1dCHoxS,anonymous,Anonymous,EN,1,An equal mixture of both,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Describes me very well,Does not describe me,Describes me moderately well,Describes me slightly well,Describes me extremely well,Describes me extremely well,Strongly disagree,Sweet,7,10,9,6,10,5
6/11/2025,16:42:00,6/11/2025,16:43:00,IP Address,100,47,True,6/11/2025,16:43:00,R_6inuMuwxmAzFuJ6,anonymous,Anonymous,EN,0.9,An equal mixture of both,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Describes me very well,Describes me slightly well,Describes me slightly well,Describes me slightly well,Describes me very well,Describes me slightly well,Somewhat agree,Savoury (umami),7,7,2,2,8,2
6/11/2025,16:41:00,6/11/2025,16:43:00,IP Address,100,114,True,6/11/2025,16:43:00,R_31za9f2wk4DlvCD,anonymous,Anonymous,EN,0.9,Mostly extroverted,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Describes me moderately well,Describes me extremely well,Describes me very well,Does not describe me,Describes me slightly well,Describes me moderately well,Strongly disagree,Spicy,8,6,5,10,9,6
6/11/2025,16:43:00,6/11/2025,16:44:00,IP Address,100,36,True,6/11/2025,16:44:00,R_18CiqxobVgVphJi,anonymous,Anonymous,EN,0.9,Mostly extroverted,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Describes me slightly well,Describes me very well,Describes me moderately well,Describes me slightly well,Describes me moderately well,Describes me slightly well,Somewhat disagree,Salty,9,2,2,8,7,5
6/11/2025,16:43:00,6/11/2025,16:44:00,IP Address,100,102,True,6/11/2025,16:44:00,R_6JfLxfTtQ5XgTM5,anonymous,Anonymous,EN,1,An equal mixture of both,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Describes me moderately well,Describes me very well,Describes me moderately well,Describes me very well,Describes me slightly well,Describes me extremely well,Somewhat agree,Spicy,8,8,4,10,10,
6/11/2025,16:42:00,6/11/2025,16:45:00,IP Address,100,183,True,6/11/2025,16:45:00,R_6k7p16RANCiFYlP,anonymous,Anonymous,EN,1,Mostly extroverted,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Describes me slightly well,Does not describe me,Does not describe me,Describes me very well,Describes me slightly well,Does not describe me,Strongly disagree,Sweet,7,10,1,3,9,0
6/11/2025,16:45:00,6/11/2025,16:46:00,IP Address,100,47,True,6/11/2025,16:46:00,R_7PBt1v1itE4kshk,anonymous,Anonymous,EN,1,Mostly extroverted,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Describes me moderately well,Describes me extremely well,Describes me extremely well,Describes me extremely well,Does not describe me,Describes me extremely well,Strongly disagree,Bitter,10,3,10,10,4,10
6/11/2025,16:39:00,6/11/2025,16:46:00,IP Address,100,430,True,6/11/2025,16:46:00,R_3QDtBoNWbqwDUD1,anonymous,Anonymous,EN,0.9,An equal mixture of both,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Describes me moderately well,Describes me very well,Describes me slightly well,Describes me moderately well,Describes me very well,Describes me very well,Somewhat agree,Sweet,10,10,5,10,10,
6/11/2025,16:45:00,6/11/2025,16:46:00,IP Address,100,106,True,6/11/2025,16:46:00,R_3kNgtsv16V5D1bK,anonymous,Anonymous,EN,0.9,An equal mixture of both,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Describes me very well,Describes me very well,Describes me slightly well,Describes me slightly well,Describes me moderately well,Describes me very well,Strongly agree,Savoury (umami),9,1,1,3,9,1
6/11/2025,16:51:00,6/11/2025,16:51:00,IP Address,100,2,True,6/11/2025,16:51:00,R_5G5QYd9VTCXzntn,anonymous,Anonymous,EN,1,Mostly introverted,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Describes me moderately well,Describes me extremely well,Describes me slightly well,Describes me slightly well,Describes me slightly well,Describes me slightly well,Strongly disagree,Sweet,7,4,3,8,10,
6/11/2025,16:55:00,6/11/2025,16:56:00,IP Address,100,29,True,6/11/2025,16:56:00,R_7ClJny8iTQFOwrU,anonymous,Anonymous,EN,1,An equal mixture of both,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Describes me very well,Describes me moderately well,Describes me moderately well,Describes me moderately well,Describes me moderately well,Describes me moderately well,Somewhat disagree,Sweet,8,9,9,9,9,8
6/11/2025,16:55:00,6/11/2025,16:57:00,IP Address,100,151,True,6/11/2025,16:57:00,R_1QPRDzwMWHxuivS,anonymous,Anonymous,EN,0.9,Mostly extroverted,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Describes me slightly well,Describes me extremely well,Describes me extremely well,Does not describe me,Describes me slightly well,Describes me extremely well,Strongly disagree,Spicy,9,9,3,10,9,
6/11/2025,16:57:00,6/11/2025,16:58:00,IP Address,100,46,True,6/11/2025,16:58:00,R_6z6ghXHxR753exQ,anonymous,Anonymous,EN,1,Mostly extroverted,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Does not describe me,Describes me extremely well,Describes me extremely well,Describes me extremely well,Describes me slightly well,Describes me extremely well,Strongly disagree,Bitter,10,4,10,10,7,10
6/11/2025,16:59:00,6/11/2025,16:59:00,IP Address,100,33,True,6/11/2025,16:59:00,R_70Zrs1dgrqOsM0a,anonymous,Anonymous,EN,1,Mostly extroverted,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Does not describe me,Describes me extremely well,Describes me extremely well,Describes me extremely well,Describes me extremely well,Describes me extremely well,Neither agree nor disagree,Sour,9,5,10,10,5,10
6/11/2025,16:59:00,6/11/2025,17:01:00,IP Address,100,111,True,6/11/2025,17:01:00,R_6PtTfPveqj5QjLJ,anonymous,Anonymous,EN,0.7,Mostly extroverted,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Describes me very well,Describes me extremely well,Describes me very well,Describes me slightly well,Describes me moderately well,Describes me very well,Somewhat disagree,Sweet,6,6,2,8,4,1
6/11/2025,16:38:00,6/11/2025,17:02:00,IP Address,100,1413,True,6/11/2025,17:02:00,R_6PZwBqhQLosNDC4,anonymous,Anonymous,EN,0.9,An equal mixture of both,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Describes me moderately well,Describes me slightly well,Does not describe me,Describes me very well,Describes me moderately well,Describes me moderately well,Neither agree nor disagree,Spicy,7,9,6,9,8,5
6/11/2025,17:01:00,6/11/2025,17:02:00,IP Address,100,46,True,6/11/2025,17:02:00,R_1Nh2uAa2d3WhLQS,anonymous,Anonymous,EN,1,Mostly extroverted,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Describes me extremely well,Describes me extremely well,Describes me extremely well,Describes me extremely well,Describes me extremely well,Describes me extremely well,Somewhat disagree,Salty,5,0,9,8,5,10
6/11/2025,17:04:00,6/11/2025,17:04:00,IP Address,100,38,True,6/11/2025,17:04:00,R_1iJViOgkrvuydu7,anonymous,Anonymous,EN,1,Mostly extroverted,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Describes me very well,Strongly disagree,Spicy,8,3,10,10,4,10
6/11/2025,17:03:00,6/11/2025,17:05:00,IP Address,100,135,True,6/11/2025,17:05:00,R_3JwC4vc5gopaSB3,anonymous,Anonymous,EN,0.8,An equal mixture of both,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Describes me extremely well,Describes me very well,Describes me very well,Describes me moderately well,Describes me slightly well,Describes me moderately well,Somewhat agree,Sweet,9,10,2,3,9,2
